Brand,Model,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Seats,Price,paint_color,Brand_id,Model_id,Fuel_Type_id,Transmission_id,Owner_Type_id,paint_color_id
Maruti,Wagon R,2010,72000,CNG,Manual,First,27,998,5,175000,blue,18,189,0,1,0,1
Hyundai,Creta,2015,41000,Diesel,Manual,First,20,1582,5,1250000,blue,10,53,1,1,0,1
Honda,Jazz,2011,46000,Petrol,Manual,First,18,1199,5,450000,blue,9,99,4,1,0,1
Maruti,Ertiga,2012,87000,Diesel,Manual,First,21,1248,7,600000,orange,18,69,1,1,0,6
Audi,A4,2013,40670,Diesel,Automatic,Second,15,1968,5,1773999,orange,1,10,1,0,2,6
Hyundai,EON,2012,75000,LPG,Manual,First,21,814,5,235000,orange,10,61,3,1,0,6
Nissan,Micra,2013,86999,Diesel,Manual,First,23,1461,5,350000,black,22,113,1,1,0,0
Toyota,Innova,2016,36000,Diesel,Automatic,First,11,2755,8,1750000,silver,28,98,1,0,0,9
Volkswagen,Vento,2013,64430,Diesel,Manual,First,21,1598,5,520000,black,29,181,1,1,0,0
Tata,Indica,2012,65932,Diesel,Manual,Second,22,1248,5,195000,black,27,96,1,1,2,0
Maruti,Ciaz,2018,25692,Petrol,Manual,First,22,1462,5,994999,red,18,43,4,1,0,8
Honda,City,2012,60000,Petrol,Automatic,First,17,1497,5,449000,black,9,44,4,0,0,0
Maruti,Swift,2015,64424,Diesel,Manual,First,25,1248,5,560000,black,18,169,1,1,0,0
Land,Rover,2014,72000,Diesel,Automatic,First,13,2179,5,2700000,white,16,146,1,0,0,10
Land,Rover,2012,85000,Diesel,Automatic,Second,8,2179,5,1750000,white,16,146,1,0,2,10
Mitsubishi,Pajero,2014,110000,Diesel,Manual,First,14,2477,7,1500000,white,21,126,1,1,0,10
Honda,Amaze,2016,58950,Diesel,Manual,First,26,1498,5,540000,black,9,16,1,1,0,0
Maruti,Swift,2017,25000,Diesel,Manual,First,28,1248,5,599000,black,18,169,1,1,0,0
Renault,Duster,2014,77469,Diesel,Manual,First,20,1461,5,634000,black,24,57,1,1,0,0
Mercedes-Benz,New,2014,78500,Diesel,Automatic,First,15,2143,5,2800000,blue,19,118,1,0,0,1
BMW,3,2014,32982,Diesel,Automatic,First,23,1995,5,1855000,blue,2,2,1,0,0,1
Maruti,S,2015,55392,Diesel,Manual,Second,24,1248,5,825000,white,18,147,1,1,2,10
Audi,A6,2015,55985,Petrol,Automatic,First,14,1984,5,2350000,white,1,11,4,0,0,10
Hyundai,i20,2010,45807,Petrol,Manual,First,19,1197,5,187000,black,10,210,4,1,0,0
Volkswagen,Vento,2010,33000,Petrol,Automatic,First,14,1598,5,285000,silver,29,181,4,0,0,9
Honda,City,2012,51920,Petrol,Manual,First,17,1497,5,425000,grey,9,44,4,1,0,5
Nissan,Micra,2012,54000,Diesel,Manual,First,23,1461,5,425000,white,22,113,1,1,0,10
Maruti,Alto,2013,54000,Petrol,Manual,Second,21,998,5,275000,white,18,15,4,1,2,10
Honda,WRV,2018,37430,Petrol,Manual,First,18,1199,5,990000,grey,9,188,4,1,0,5
Toyota,Innova,2007,262000,Diesel,Manual,Fourth & Above,13,2494,7,400000,red,28,98,1,1,1,8
Renault,Duster,2013,62000,Diesel,Manual,First,19,1461,5,775000,red,24,57,1,1,0,8
Toyota,Corolla,2012,87615,Petrol,Manual,First,15,1798,5,675000,blue,28,51,4,1,0,1
Mahindra,Ssangyong,2013,72000,Diesel,Automatic,Second,11,2696,7,1250000,black,17,165,1,0,2,0
Audi,A6,2010,35000,Diesel,Automatic,First,12,2698,5,1150000,white,1,11,1,0,0,10
